replicate,seed,episode_heterogeneity,temporal_structure,split_method,model,event_prevalence,auroc,status,runtime_seconds
9,51,False,False,row_wise,boosted_trees,0.5951417004048583,0.8678061224489796,ok,3.0262056349311024
10,52,False,False,grouped,boosted_trees,0.5097690941385435,0.43239660657476137,ok,2.9657175039174035
10,52,False,False,row_wise,boosted_trees,0.5097690941385435,0.739736403575216,ok,2.9718785940203816
11,53,False,False,grouped,boosted_trees,0.6842105263157895,0.6068779991275265,ok,1.7658017739886418
11,53,False,False,row_wise,boosted_trees,0.6842105263157895,0.7950899132373612,ok,1.7718861759640276
12,54,False,False,grouped,boosted_trees,0.5918367346938775,0.5703904246223995,ok,3.010813115979545
12,54,False,False,row_wise,boosted_trees,0.5918367346938775,0.7865061271017384,ok,3.023830452002585
13,55,False,False,grouped,boosted_trees,0.4649390243902439,0.42586520947176687,ok,2.257623967016116
13,55,False,False,row_wise,boosted_trees,0.4649390243902439,0.7390500210172342,ok,2.2664414680330083
14,56,False,False,grouped,boosted_trees,0.5471698113207547,0.472362733922295,ok,3.47860094695352
14,56,False,False,row_wise,boosted_trees,0.5471698113207547,0.8624964377315475,ok,3.4853149169357494
15,57,False,False,grouped,boosted_trees,0.4290484140233723,0.4700889708057433,ok,2.011105144978501
15,57,False,False,row_wise,boosted_trees,0.4290484140233723,0.7980180672173299,ok,2.018049943028018
16,58,False,False,grouped,boosted_trees,0.49393939393939396,0.5192498438705411,ok,3.5818600250640884
16,58,False,False,row_wise,boosted_trees,0.49393939393939396,0.7504316520333566,ok,3.587790940073319
17,59,False,False,grouped,boosted_trees,0.5293040293040293,0.44278539980881343,ok,2.569167732959613
17,59,False,False,row_wise,boosted_trees,0.5293040293040293,0.7095714458820837,ok,2.574876084923744
18,60,False,False,grouped,boosted_trees,0.6020408163265306,0.5502303346371142,ok,1.8179601340088993
18,60,False,False,row_wise,boosted_trees,0.6020408163265306,0.7303259452411994,ok,1.824404711020179
19,61,False,False,grouped,boosted_trees,0.5461254612546126,0.5526120632827951,ok,2.6504015560494736
19,61,False,False,row_wise,boosted_trees,0.5461254612546126,0.8032712590639419,ok,2.6560870410175994
20,62,False,False,grouped,boosted_trees,0.4522184300341297,0.4776817727620056,ok,1.9200788569869474
20,62,False,False,row_wise,boosted_trees,0.4522184300341297,0.7813436783636043,ok,1.9267881020205095
21,63,False,False,grouped,boosted_trees,0.6240786240786241,0.5333487725798981,ok,1.5733025609515607
21,63,False,False,row_wise,boosted_trees,0.6240786240786241,0.796279141577891,ok,1.579667190904729
22,64,False,False,grouped,boosted_trees,0.7102137767220903,0.40412029168265806,ok,1.597357625956647
22,64,False,False,row_wise,boosted_trees,0.7102137767220903,0.6747902845550742,ok,1.6039373519597575
23,65,False,False,grouped,boosted_trees,0.6509635974304069,0.6542319179851469,ok,1.734411170007661
23,65,False,False,row_wise,boosted_trees,0.6509635974304069,0.8084638359702938,ok,1.7405129380058497
24,66,False,False,grouped,boosted_trees,0.4922360248447205,0.5886223096884978,ok,1.792809739941731
24,66,False,False,row_wise,boosted_trees,0.4922360248447205,0.8143914180148372,ok,1.7992614189861342
25,67,False,False,grouped,boosted_trees,0.5476190476190477,0.4950622934146962,ok,1.8975860679056495
25,67,False,False,row_wise,boosted_trees,0.5476190476190477,0.7055275870836512,ok,1.9044728649314493
26,68,False,False,grouped,boosted_trees,0.540084388185654,0.5629748423165137,ok,1.694247477920726
26,68,False,False,row_wise,boosted_trees,0.540084388185654,0.7401627006880734,ok,1.7003586869686842
27,69,False,False,grouped,boosted_trees,0.4844290657439446,0.5000838926174497,ok,1.7074680250370875
27,69,False,False,row_wise,boosted_trees,0.4844290657439446,0.8780560882070948,ok,1.7134439650690183
28,70,False,False,grouped,boosted_trees,0.43137254901960786,0.5947673016638535,ok,2.2295243699336424
28,70,False,False,row_wise,boosted_trees,0.43137254901960786,0.7087607352859342,ok,2.2355784779647365
29,71,False,False,grouped,boosted_trees,0.549645390070922,0.5314706629413259,ok,1.9227898810058832
29,71,False,False,row_wise,boosted_trees,0.549645390070922,0.8427990855981712,ok,1.9282544230809435
0,42,False,True,grouped,boosted_trees,0.38235294117647056,0.6285782119115453,ok,1.6956452440936118
0,42,False,True,row_wise,boosted_trees,0.38235294117647056,0.9247953692398136,ok,1.7018580120056868
1,43,False,True,grouped,boosted_trees,0.5196078431372549,0.5482402772429726,ok,1.5297807110473514
1,43,False,True,row_wise,boosted_trees,0.5196078431372549,0.7677011936850211,ok,1.5348584060557187
2,44,False,True,grouped,boosted_trees,0.47788873038516405,0.3992292635184732,ok,1.8490458379965276
2,44,False,True,row_wise,boosted_trees,0.47788873038516405,0.7885245901639345,ok,1.8544487069593742
3,45,False,True,grouped,boosted_trees,0.5201342281879194,0.6017482517482518,ok,1.8350023300154135
3,45,False,True,row_wise,boosted_trees,0.5201342281879194,0.7708211143695014,ok,1.8412462850101292
4,46,False,True,grouped,boosted_trees,0.49521988527724664,0.4831812331812332,ok,1.6214500240748748
4,46,False,True,row_wise,boosted_trees,0.49521988527724664,0.8607698607698608,ok,1.6275673509808257
5,47,False,True,grouped,boosted_trees,0.5158450704225352,0.5267390629847968,ok,1.7402385799214244
5,47,False,True,row_wise,boosted_trees,0.5158450704225352,0.8590071362085014,ok,1.7465339968912303
6,48,False,True,grouped,boosted_trees,0.41127694859038144,0.4813437074057247,ok,1.6690586910117418
6,48,False,True,row_wise,boosted_trees,0.41127694859038144,0.8334052703316674,ok,1.674756526015699
7,49,False,True,grouped,boosted_trees,0.5456273764258555,0.534631813741927,ok,1.633138099918142
7,49,False,True,row_wise,boosted_trees,0.5456273764258555,0.8099806102663538,ok,1.6394367018947378
8,50,False,True,grouped,boosted_trees,0.44651162790697674,0.6036998132586368,ok,1.6612936899764463
8,50,False,True,row_wise,boosted_trees,0.44651162790697674,0.8260095704948647,ok,1.6678114410024136
9,51,False,True,grouped,boosted_trees,0.48455598455598453,0.47514809675157055,ok,2.009641312994063
9,51,False,True,row_wise,boosted_trees,0.48455598455598453,0.9135294029873017,ok,2.0151146239368245
10,52,False,True,grouped,boosted_trees,0.5097690941385435,0.47061051355855177,ok,1.7060231579234824
10,52,False,True,row_wise,boosted_trees,0.5097690941385435,0.7903221734080695,ok,1.7128720768960193
11,53,False,True,grouped,boosted_trees,0.6783505154639176,0.4507637752318603,ok,2.6952875700080767
11,53,False,True,row_wise,boosted_trees,0.6783505154639176,0.8712688021198659,ok,2.7007007260108367
12,54,False,True,grouped,boosted_trees,0.5064935064935064,0.4382854672739541,ok,2.00248754711356
12,54,False,True,row_wise,boosted_trees,0.5064935064935064,0.7722039473684211,ok,2.008850158075802
13,55,False,True,grouped,boosted_trees,0.5288640595903166,0.6032817458108334,ok,2.3582415810087696
13,55,False,True,row_wise,boosted_trees,0.5288640595903166,0.7809803484941268,ok,2.364574198029004
14,56,False,True,grouped,boosted_trees,0.5469026548672566,0.41560477346278313,ok,2.3487733909860253
14,56,False,True,row_wise,boosted_trees,0.5469026548672566,0.8612080299352751,ok,2.3554813619703054
15,57,False,True,grouped,boosted_trees,0.4290484140233723,0.4464866771338203,ok,2.9673345129704103
15,57,False,True,row_wise,boosted_trees,0.4290484140233723,0.8148735977427356,ok,2.974438086966984
16,58,False,True,grouped,boosted_trees,0.49393939393939396,0.4947650710848242,ok,2.7703548199497163
16,58,False,True,row_wise,boosted_trees,0.49393939393939396,0.754408361191727,ok,2.777322303969413
17,59,False,True,grouped,boosted_trees,0.4691358024691358,0.49169435215946844,ok,2.6666307050036266
17,59,False,True,row_wise,boosted_trees,0.4691358024691358,0.7996652761471786,ok,2.673753691953607
18,60,False,True,grouped,boosted_trees,0.573170731707317,0.462440295267043,ok,1.6283680299529806
18,60,False,True,row_wise,boosted_trees,0.573170731707317,0.6962843496061037,ok,1.6337117839138955
19,61,False,True,grouped,boosted_trees,0.46835443037974683,0.5837667113177317,ok,1.6173942519817501
19,61,False,True,row_wise,boosted_trees,0.46835443037974683,0.7623250072229665,ok,1.6248813850106671
20,62,False,True,grouped,boosted_trees,0.4522184300341297,0.5123376241697526,ok,1.8899391370359808
20,62,False,True,row_wise,boosted_trees,0.4522184300341297,0.8243460882854288,ok,1.8963633300736547
21,63,False,True,grouped,boosted_trees,0.6495238095238095,0.5456457988014791,ok,1.8730130979092792
21,63,False,True,row_wise,boosted_trees,0.6495238095238095,0.7410429682519445,ok,1.8789215089054778
22,64,False,True,grouped,boosted_trees,0.6153846153846154,0.6455810546874999,ok,2.3584139259764925
22,64,False,True,row_wise,boosted_trees,0.6153846153846154,0.8483642578124999,ok,2.363707064068876
23,65,False,True,grouped,boosted_trees,0.6509635974304069,0.6677127058443655,ok,1.7436106340028346
23,65,False,True,row_wise,boosted_trees,0.6509635974304069,0.8273329028091702,ok,1.7494192440062761
24,66,False,True,grouped,boosted_trees,0.576797385620915,0.5060430726153106,ok,2.553602433996275
