replicate,seed,episode_fingerprint,shared_event_time,split_method,model,event_prevalence,n_eligible,auroc,status,runtime_seconds
3,45,True,False,grouped,boosted_trees,0.46,600,0.5025720164609053,ok,3.4762785469647497
3,45,True,False,row_wise,boosted_trees,0.46,600,0.49939613526570054,ok,3.4834770190063864
4,46,True,False,grouped,boosted_trees,0.47333333333333333,600,0.4720204136209663,ok,9.779220745898783
4,46,True,False,row_wise,boosted_trees,0.47333333333333333,600,0.47303440898555893,ok,9.785978150903247
5,47,True,False,grouped,boosted_trees,0.47333333333333333,600,0.4989080049919771,ok,13.74526352493558
5,47,True,False,row_wise,boosted_trees,0.47333333333333333,600,0.5252718844713853,ok,13.753577720024623
6,48,True,False,grouped,boosted_trees,0.4633333333333333,600,0.5161311944233433,ok,10.265048937057145
6,48,True,False,row_wise,boosted_trees,0.4633333333333333,600,0.500670271236427,ok,10.27391659503337
7,49,True,False,grouped,boosted_trees,0.5116666666666667,600,0.5053195628731197,ok,6.505821860046126
7,49,True,False,row_wise,boosted_trees,0.5116666666666667,600,0.5118231036897867,ok,6.513577017001808
8,50,True,False,grouped,boosted_trees,0.49,600,0.4897181094660086,ok,1.6174110480351374
8,50,True,False,row_wise,boosted_trees,0.49,600,0.5430616691120893,ok,1.6230107130249962
9,51,True,False,grouped,boosted_trees,0.48,600,0.477230235042735,ok,1.6909045790089294
9,51,True,False,row_wise,boosted_trees,0.48,600,0.4589565527065527,ok,1.696325795026496
10,52,True,False,grouped,boosted_trees,0.47333333333333333,600,0.5011477090390444,ok,2.0503361269365996
10,52,True,False,row_wise,boosted_trees,0.47333333333333333,600,0.5164913531823855,ok,2.0571967699797824
11,53,True,False,grouped,boosted_trees,0.43666666666666665,600,0.5084240480599846,ok,1.675990218995139
11,53,True,False,row_wise,boosted_trees,0.43666666666666665,600,0.5128393333032205,ok,1.681452380027622
12,54,True,False,grouped,boosted_trees,0.4666666666666667,600,0.5059877232142858,ok,1.710208261036314
12,54,True,False,row_wise,boosted_trees,0.4666666666666667,600,0.5163616071428571,ok,1.7164983720285818
13,55,True,False,grouped,boosted_trees,0.4633333333333333,600,0.5334130211358863,ok,2.1086194639792666
13,55,True,False,row_wise,boosted_trees,0.4633333333333333,600,0.5040439697931096,ok,2.1140789299970493
14,56,True,False,grouped,boosted_trees,0.49,600,0.44864612511671337,ok,1.6306620219256729
14,56,True,False,row_wise,boosted_trees,0.49,600,0.4696434129207238,ok,1.6360581459011883
15,57,True,False,grouped,boosted_trees,0.49,600,0.4994775688052998,ok,1.4853607690893114
15,57,True,False,row_wise,boosted_trees,0.49,600,0.5182628606998355,ok,1.4925862380769104
16,58,True,False,grouped,boosted_trees,0.475,600,0.5021331105541632,ok,2.9489677359815687
16,58,True,False,row_wise,boosted_trees,0.475,600,0.4832080200501253,ok,2.9540844159200788
17,59,True,False,grouped,boosted_trees,0.505,600,0.47819226367081147,ok,1.9436358049279079
17,59,True,False,row_wise,boosted_trees,0.505,600,0.5038281605938372,ok,1.950023864977993
18,60,True,False,grouped,boosted_trees,0.5,600,0.49106666666666665,ok,2.2110841720132157
18,60,True,False,row_wise,boosted_trees,0.5,600,0.5059222222222222,ok,2.2168759299675003
19,61,True,False,grouped,boosted_trees,0.4533333333333333,600,0.5075546987087518,ok,1.6243403870612383
19,61,True,False,row_wise,boosted_trees,0.4533333333333333,600,0.5231460724533715,ok,1.6299165709642693
20,62,True,False,grouped,boosted_trees,0.4716666666666667,600,0.49215815228901694,ok,4.238420953974128
20,62,True,False,row_wise,boosted_trees,0.4716666666666667,600,0.49235879658012954,ok,4.244479924906045
21,63,True,False,grouped,boosted_trees,0.48,600,0.43075587606837606,ok,2.198900004965253
21,63,True,False,row_wise,boosted_trees,0.48,600,0.4534811253561254,ok,2.2055177619913593
22,64,True,False,grouped,boosted_trees,0.4716666666666667,600,0.4986902386552374,ok,2.2045218250714242
22,64,True,False,row_wise,boosted_trees,0.4716666666666667,600,0.4973303162376966,ok,2.2107649970566854
23,65,True,False,grouped,boosted_trees,0.5033333333333333,600,0.4778434597093204,ok,1.8337791189551353
23,65,True,False,row_wise,boosted_trees,0.5033333333333333,600,0.4557091426285612,ok,1.8399642340373248
24,66,True,False,grouped,boosted_trees,0.455,600,0.5108825934514007,ok,2.8705336450366303
24,66,True,False,row_wise,boosted_trees,0.455,600,0.5097624088449776,ok,2.875966868014075
25,67,True,False,grouped,boosted_trees,0.4866666666666667,600,0.45456769258139124,ok,1.7655281439656392
25,67,True,False,row_wise,boosted_trees,0.4866666666666667,600,0.4800524817648105,ok,1.7718878099694848
26,68,True,False,grouped,boosted_trees,0.49,600,0.49068516295407055,ok,1.8400082009611651
26,68,True,False,row_wise,boosted_trees,0.49,600,0.5334133653461384,ok,1.8462023210013285
27,69,True,False,grouped,boosted_trees,0.4816666666666667,600,0.48904638458371813,ok,2.0720017249695957
27,69,True,False,row_wise,boosted_trees,0.4816666666666667,600,0.46990398202027167,ok,2.0781937110004947
28,70,True,False,grouped,boosted_trees,0.47833333333333333,600,0.5314869031848694,ok,1.686728121014312
28,70,True,False,row_wise,boosted_trees,0.47833333333333333,600,0.5491311462635393,ok,1.6930312779732049
29,71,True,False,grouped,boosted_trees,0.49166666666666664,600,0.3903973325923868,ok,1.8435147410491481
29,71,True,False,row_wise,boosted_trees,0.49166666666666664,600,0.4014559599888858,ok,1.8488488390576094
0,42,True,True,grouped,boosted_trees,0.4444444444444444,531,0.4280235564492962,ok,1.7825838419375941
0,42,True,True,row_wise,boosted_trees,0.4444444444444444,531,0.8621516805515657,ok,1.7908095530001447
